dif,R,RMSE,KGE,name,,,,
-23.5,0.546145702,41.98961559,-10.18984539,Budburst_SoS_filterdoublelogisticthreshold_NDVI5,75,137,122,334
-38.5,0.633022223,41.88495985,-10.48066202,Budburst_SoS_filterthreshold_EVI5,28,136,123,287
-0.5,0.519355149,40.72906321,-10.49992499,Budburst_SoS_filterdoublelogisticthreshold_NDGI5,84,128,124,336
-38.5,0.576461906,43.15167127,-10.65953678,Budburst_filtercubic_SoS_threshold_EVI5,62,142,125,329
-29.5,0.590954573,41.84434769,-10.69651076,Budburst_SoS_filterthreshold_NDVI5,50,135,126,311
-20.5,0.62307823,35.35932409,-10.86039409,Budburst_SoS_filterdoublelogisticthreshold_NDPI13,32,92,127,251
-35.5,0.500501761,39.32295704,-11.00609388,Budburst_SoS_filterthreshold_NDPI4,91,117,128,336
-28.5,0.502202132,44.19666106,-11.23999417,Budburst_filtercubic_SoS_threshold_NDVI5,90,147,129,366
19.5,0.212030946,39.88193282,-11.33092747,Budburst_mintomaxcubic_SoS_threshold_NDGI3,193,123,130,446
15.5,0.350345821,43.52030592,-11.56216616,Budburst_filtercubic_SoS_threshold_DVI4,134,144,131,409
17.5,0.273397951,39.28102515,-11.78963048,Budburst_SoS_filterthreshold_DVI3,156,116,132,404
17.5,0.258256837,43.7560307,-12.10196426,Budburst_SoS_filterdoublelogisticthreshold_DVI3,173,145,133,451
25.5,0.3020613,45.01273355,-12.23307246,Budburst_mintomaxcubic_SoS_threshold_NDVI1,144,150,134,428
-26.5,0.61804222,38.09535606,-12.24697636,Budburst_SoS_filterdoublelogisticthreshold_NDPI2,33,109,135,277
9.5,0.262534291,40.43982459,-12.28655805,Budburst_SoS_doublelogisticthreshold_NDGI4,161,124,136,421
23.5,0.173665879,44.49504496,-12.58988111,Budburst_mintomaxcubic_SoS_threshold_NDGI2,211,148,137,496
17.5,0.247777476,40.58284583,-12.60108688,Budburst_SoS_doublelogisticthreshold_NDGI3,177,127,138,442
-20.5,0.420885505,40.77212624,-12.68368658,Budburst_mintomaxcubic_SoS_threshold_NDPI1,116,130,139,385
15.5,0.276471991,44.0121191,-12.71221838,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI3,152,146,140,438
18.5,0.260326795,43.49870984,-12.77601952,Budburst_cubic_SoS_threshold_NDVI2,168,143,141,452
22.5,0.349418533,42.21281993,-12.93653668,Budburst_SoS_doublelogisticthreshold_NDVI1,137,138,142,417
-26.5,0.475345165,39.40691004,-12.98074512,Budburst_mintomaxcubic_SoS_threshold_NDPI2,98,122,143,363
1.5,0.266457763,42.51605573,-13.10924841,Budburst_SoS_doublelogisticthreshold_NDGI5,158,139,144,441
-23.5,0.429290625,40.50080367,-13.12563875,Budburst_mintomaxcubic_SoS_threshold_NDPI13,112,126,145,383
9.5,0.300362095,41.0561751,-13.15961314,Budburst_cubic_SoS_threshold_NDGI5,145,133,146,424
27.5,0.156276748,46.53905412,-13.24101922,Budburst_mintomaxcubic_SoS_threshold_NDGI13,216,155,147,518
30.5,0.46502642,45.30828569,-13.40466008,Budburst_cubic_SoS_threshold_EVI1,102,151,148,401
-40.5,0.48511714,48.13213873,-13.52668244,Budburst_filtercubic_SoS_threshold_NDPI5,96,160,149,405
-38.5,0.53061917,46.29283562,-14.23659206,Budburst_SoS_filterthreshold_NDPI5,80,154,150,384
-14.5,0.580312108,40.92120123,-14.61506212,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI1,58,131,151,340
-34.5,0.610923404,43.14494697,-14.81630285,Budburst_SoS_filterdoublelogisticthreshold_NDPI3,36,141,152,329
14.5,0.269717782,44.91647324,-15.12096071,Budburst_SoS_filterthreshold_DVI4,157,149,153,459
12.5,0.258602214,49.3709133,-15.23471457,Budburst_SoS_filterdoublelogisticthreshold_DVI4,172,163,154,489
31.5,0.132665916,50.83892584,-15.41695467,Budburst_mintomaxcubic_SoS_threshold_NDGI1,218,167,155,540
28.5,0.185830986,46.6786107,-16.15823441,Budburst_SoS_doublelogisticthreshold_NDGI2,202,156,156,514
10.5,0.232298926,50.6228992,-16.39653014,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI4,186,166,157,509
-22.5,0.574361169,43.13209737,-16.42974108,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI13,64,140,158,362
15.5,0.176918285,47.50225058,-16.58872619,Budburst_cubic_SoS_threshold_NDGI4,210,158,159,527
36.5,0.171640548,48.82892074,-16.96617675,Budburst_SoS_doublelogisticthreshold_NDGI13,212,162,160,534
-31.5,0.44970367,45.62522947,-16.97760471,Budburst_mintomaxcubic_SoS_threshold_NDPI3,106,153,161,420
11.5,0.286955316,53.70282921,-17.27355466,Budburst_filtercubic_SoS_threshold_DVI5,147,174,162,483
11.5,0.330015532,48.43903608,-17.31275275,Budburst_cubic_SoS_threshold_DVI5,140,161,163,464
-41.5,0.605711294,47.92591754,-17.43349328,Budburst_SoS_filterdoublelogisticthreshold_NDPI4,37,159,164,360
14.5,0.260063453,47.18088462,-17.72603488,Budburst_cubic_SoS_threshold_DVI4,169,157,165,491
-27.5,0.57097409,45.41146636,-18.07773346,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI2,67,152,166,385
14.5,0.349592803,52.11410906,-18.39745066,Budburst_SoS_filterthreshold_DVI5,136,169,167,472
7.5,0.257238301,54.62960915,-18.48556655,Budburst_SoS_filterdoublelogisticthreshold_DVI5,175,179,168,522
