dif,R,RMSE,KGE,name,dif_mean,R_rank,RMSE_rank,KGE_rank,rank
-54.7142857,0.580706251,28.38376502,-4.22333549,Budburstcubic_SoS_threshold_NDVI3,-25.20806637,157,71,68,296
-64.7142857,0.837794971,42.42789376,-6.199486197,Budburstfilterdoublelogistic_SoS_threshold_PPI4,-40.84443001,8,167,123,298
-57.7142857,0.724695373,37.46809889,-4.281419653,Budburstfilter_cubic_SoS_threshold_NDPI3,-36.57170274,105,126,69,300
-66.7142857,0.814357839,43.93135198,-5.41898992,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI5,-43.07170274,19,177,104,300
-49.7142857,0.56114529,30.27324896,-3.580346875,BudburstmintomaxSoS_threshold_NDVI3,-28.20806637,165,82,54,301
-50.7142857,0.711061612,34.8715949,-4.508250412,BudburstSoS_threshold_NDVI4,-33.20806637,114,112,77,303
-50.7142857,0.579422722,32.274807,-3.364371775,BudburstfilterSoS_threshold_EVI3,-31.25352092,158,98,50,306
-49.7142857,0.227965819,24.92775405,-2.407530719,BudburstmintomaxSoS_threshold_EVI2,-21.75352092,228,56,30,314
-60.7142857,0.747630498,39.5916872,-4.672075823,Budburstcubic_SoS_threshold_EVI4,-38.66261183,89,144,81,314
-16.7142857,0.355062154,17.53449929,-4.880279789,Budburstcubic_SoS_threshold_EVI13,-1.117157282,205,22,87,314
-17.7142857,-0.088241381,17.82928079,-2.55653335,BudburstmintomaxSoS_threshold_EVI1,-4.298975464,259,23,33,315
-32.7142857,0.691535845,21.59244145,-7.549746857,BudburstfilterSoS_threshold_NDGI2,-12.38988455,119,43,154,316
-49.7142857,0.765908273,26.15639043,-13.98193684,BudburstfilterSoS_threshold_PPI2,-11.61715728,77,63,177,317
-68.7142857,0.813955776,44.60769634,-5.946066555,Budburstfilterdoublelogistic_SoS_threshold_NDGI5,-43.38988455,21,184,115,320
-66.7142857,0.769131092,41.13958492,-5.043955217,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI5,-40.11715728,74,155,92,321
-28.7142857,0.283347838,20.93742256,-4.132564764,BudburstfilterSoS_threshold_EVI13,-12.66261183,218,39,65,322
-50.7142857,0.339047732,29.75294315,-3.02696048,BudburstSoS_threshold_EVI3,-27.70806637,207,76,42,325
-63.7142857,0.715521985,37.70239838,-4.869697024,Budburstcubic_SoS_threshold_NDVI4,-36.16261183,110,130,86,326
-67.7142857,0.791670828,43.60631821,-5.547919209,Budburstcubic_SoS_threshold_NDPI4,-42.52624819,44,176,107,327
-66.7142857,0.781617779,43.10905723,-5.254913796,Budburstdoublelogistic_SoS_threshold_NDVI5,-42.20806637,59,172,98,329
-64.7142857,0.808610883,45.52997133,-5.751871251,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI4,-44.57170274,27,193,111,331
-65.7142857,0.785528767,44.48336873,-5.272288033,Budburstmintomaxdoublelogistic_SoS_threshold_EVI5,-43.79897546,51,182,99,332
-7.7142857,0.766144594,30.5488225,-11.97041416,Budburstmintomaxcubic_SoS_threshold_EVI1,21.83738817,76,85,171,332
-64.7142857,0.78272207,44.13259201,-5.190653193,Budburstdoublelogistic_SoS_threshold_EVI5,-43.48079365,57,180,96,333
-69.7142857,0.757276923,41.02508075,-5.253653719,Budburstfilter_cubic_SoS_threshold_NDVI4,-39.75352092,82,154,97,333
-50.7142857,0.445938109,31.68748859,-3.217986114,BudburstmintomaxSoS_threshold_EVI3,-30.48079365,195,92,47,334
-68.7142857,0.808614875,45.9254854,-5.744965414,Budburstfilterdoublelogistic_SoS_threshold_NDVI5,-45.02624819,26,199,110,335
-33.7142857,0.539557423,18.14156354,-6.609189985,Budburstfilter_cubic_SoS_threshold_NDGI13,1.110115445,174,24,138,336
-31.7142857,0.588864088,19.62490963,-7.403511181,Budburstfilter_cubic_SoS_threshold_PPI1,6.428297264,151,32,153,336
-54.7142857,0.632081517,37.96559912,-4.310188893,BudburstSoS_threshold_EVI4,-36.88988455,136,133,71,340
-28.7142857,0.248326327,20.36928533,-4.642477473,BudburstmintomaxSoS_threshold_NDVI13,-9.9353391,225,36,80,341
