dif,R,RMSE,KGE,name,dif_mean,,
-5,0.697865013,31.6837977,0.192236761,Budburstfilter_cubic_SoS_threshold_PPI3,-21.7151997,,
-14,0.709412421,42.15974481,-0.305460415,Budburstfilter_cubic_SoS_threshold_PPI4,-34.85805684,,
-29,0.685956382,52.60802918,-0.718245767,Budburstfilter_cubic_SoS_threshold_PPI5,-46.20499561,,
74,0.400041653,59.15438945,-0.801911684,Budburstmintomaxcubic_SoS_threshold_NDGI1,50.36643296,,
56,0.281775815,55.483527,-0.549318334,Budburstmintomaxcubic_SoS_threshold_NDGI13,42.91745336,,
49,0.267246919,53.24526388,-0.42520515,Budburstmintomaxcubic_SoS_threshold_NDGI2,37.97867785,,
4,0.260946526,48.35722476,-0.275954402,Budburstmintomaxcubic_SoS_threshold_NDGI3,25.44806561,,
-8,0.248961844,45.19712828,-0.182572563,Budburstmintomaxcubic_SoS_threshold_NDGI4,14.97867785,,
-16,0.239572872,41.7810182,0.0928222,Budburstmintomaxcubic_SoS_threshold_NDGI5,1.876637038,,
22,0.122784904,48.21032989,-0.095353787,Budburstmintomaxcubic_SoS_threshold_EVI1,30.57051459,,
8,0.189530601,41.99229299,0.249266836,Budburstmintomaxcubic_SoS_threshold_EVI13,20.65214724,,
2,0.265770609,37.55754509,0.501710282,Budburstmintomaxcubic_SoS_threshold_EVI2,12.91745336,,
-9,0.340869157,33.8299595,0.76296484,Budburstmintomaxcubic_SoS_threshold_EVI3,-0.939689492,,
-17,0.32234861,36.15049192,0.539068067,Budburstmintomaxcubic_SoS_threshold_EVI4,-10.2662201,,
-23,0.341729641,38.80573642,0.280277407,Budburstmintomaxcubic_SoS_threshold_EVI5,-19.14377113,,
97,0.338591471,50.47367438,-0.68843398,Budburstmintomaxcubic_SoS_threshold_NDPI1,26.99908602,,
93,0.344178305,49.1788552,-0.770066831,Budburstmintomaxcubic_SoS_threshold_NDPI13,22.22357581,,
5,0.408802046,42.9579786,-0.58798695,Budburstmintomaxcubic_SoS_threshold_NDPI2,10.121535,,
-6,0.41837583,43.5412234,-0.850881687,Budburstmintomaxcubic_SoS_threshold_NDPI3,0.039902344,,
-15,0.385211704,47.88805951,-1.285152853,Budburstmintomaxcubic_SoS_threshold_NDPI4,-7.531526227,,
-22,0.346210388,53.56572529,-1.805273586,Budburstmintomaxcubic_SoS_threshold_NDPI5,-14.65397521,,
53,0.248158072,54.93181128,-0.503318798,Budburstmintomaxcubic_SoS_threshold_NDVI1,41.71337173,,
17,0.274379888,48.40480358,-0.190045325,Budburstmintomaxcubic_SoS_threshold_NDVI13,31.79500439,,
7,0.229344078,44.22310572,0.095469135,Budburstmintomaxcubic_SoS_threshold_NDVI2,23.06031051,,
-5,0.249712491,38.87918925,0.446241408,Budburstmintomaxcubic_SoS_threshold_NDVI3,7.570514589,,
-14,0.273655407,36.9368104,0.589677483,Budburstmintomaxcubic_SoS_threshold_NDVI4,-5.960097656,,
-21,0.238181862,41.90337685,0.230367537,Budburstmintomaxcubic_SoS_threshold_NDVI5,-16.47030174,,
65,0.093591906,66.53403563,-1.601926719,Budburstmintomaxcubic_SoS_threshold_PPI1,37.46847377,,
54,0.099715212,64.35077029,-1.619336273,Budburstmintomaxcubic_SoS_threshold_PPI13,32.34602479,,
47,0.094941373,61.82911431,-1.681980992,Budburstmintomaxcubic_SoS_threshold_PPI2,23.91745336,,
2,0.100275299,60.06730933,-1.863904047,Budburstmintomaxcubic_SoS_threshold_PPI3,12.71337173,,
-9,-0.00357593,61.82569641,-1.903782378,Budburstmintomaxcubic_SoS_threshold_PPI4,-1.429485411,,
-17,-0.041473388,63.07987757,-1.679278071,Budburstmintomaxcubic_SoS_threshold_PPI5,-16.55193439,,
17,0.468778354,62.15785311,-1.91386441,Budburstdoublelogistic_SoS_threshold_NDGI1,41.52969826,,
10,0.384340807,56.9722457,-1.551469034,Budburstdoublelogistic_SoS_threshold_NDGI13,31.55010643,,
4,0.425861451,52.46125378,-1.483407662,Budburstdoublelogistic_SoS_threshold_NDGI2,24.42765745,,
-4,0.422354598,47.43693621,-1.234539067,Budburstdoublelogistic_SoS_threshold_NDGI3,12.93786153,,
-11,0.466780499,41.91433812,-0.824466897,Budburstdoublelogistic_SoS_threshold_NDGI4,1.835820712,,
-17,0.467319363,43.77769699,-1.085781547,Budburstdoublelogistic_SoS_threshold_NDGI5,-4.368260921,,
21,0.465771585,44.09830127,-0.429503008,Budburstdoublelogistic_SoS_threshold_EVI1,23.52969826,,
14,0.640275131,31.07476286,0.106801451,Budburstdoublelogistic_SoS_threshold_EVI13,11.121535,,
9,0.647632165,30.41780656,0.010451911,Budburstdoublelogistic_SoS_threshold_EVI2,5.346024793,,
1,0.659338484,27.36954288,0.386428617,Budburstdoublelogistic_SoS_threshold_EVI3,-5.61315888,,
-6,0.677853629,27.96813986,0.421628287,Budburstdoublelogistic_SoS_threshold_EVI4,-14.16417929,,
-12,0.676675286,31.84372022,0.198235072,Budburstdoublelogistic_SoS_threshold_EVI5,-20.16417929,,
135,0.344218199,85.75148816,-3.839557906,Budburstdoublelogistic_SoS_threshold_NDPI1,60.63173908,,
135,0.350353043,83.78468386,-4.494369171,Budburstdoublelogistic_SoS_threshold_NDPI13,53.01949418,,
135,0.322173235,81.472195,-4.859823226,Budburstdoublelogistic_SoS_threshold_NDPI2,44.63173908,,
14,0.335658986,80.73964602,-5.666237035,Budburstdoublelogistic_SoS_threshold_NDPI3,36.24398398,,
0,0.399594683,75.4055656,-5.913863248,Budburstdoublelogistic_SoS_threshold_NDPI4,23.14194316,,
-10,0.436813122,71.97202832,-5.963592648,Budburstdoublelogistic_SoS_threshold_NDPI5,11.57051459,,
20,0.525123755,54.76657269,-1.687305623,Budburstdoublelogistic_SoS_threshold_NDVI1,32.75418806,,
13,0.471205192,44.35974822,-0.796693439,Budburstdoublelogistic_SoS_threshold_NDVI13,17.38684112,,
8,0.496226954,35.99492674,-0.054647505,Budburstdoublelogistic_SoS_threshold_NDVI2,6.20316765,,
0,0.707375273,25.25984426,0.484070401,Budburstdoublelogistic_SoS_threshold_NDVI3,-7.960097656,,
