R,RMSE,KGE,name,R_rank,RMSE_rank,KGE_rank,rank
0.409836699,30.66708855,-3.748136285,plantbudcubic_SoS_threshold_NDVI2,125,71,113,309
0.536092157,35.86858314,-4.357915863,plantbudfilterdoublelogistic_SoS_threshold_NDGI3,79,99,135,313
0.66619443,48.56367981,-3.293338351,plantbudfilter_cubic_SoS_threshold_NDVI5,36,184,97,317
0.462354351,34.35208578,-4.267545096,plantbudmintomaxcubic_SoS_threshold_EVI4,108,87,131,326
0.626645952,45.23230419,-3.890001206,plantbudfilter_cubic_SoS_threshold_NDGI5,45,163,119,327
0.042304316,30.39054601,-0.811853632,plantbudSoS_threshold_EVI3,238,70,22,330
0.388972073,35.24085318,-3.327016959,plantbudmintomaxSoS_threshold_PPI2,136,97,99,332
0.49395045,43.3935962,-2.941212828,plantbudfilterdoublelogistic_SoS_threshold_NDVI4,96,149,89,334
0.253388333,34.45780381,-2.094712199,plantbudmintomaxSoS_threshold_NDVI3,192,89,54,335
0.442887067,34.68735561,-4.102002585,plantbudmintomaxcubic_SoS_threshold_EVI13,114,92,129,335
0.405335492,36.17323806,-3.619973219,plantbudfilterSoS_threshold_NDPI3,128,102,108,338
0.501678589,46.22400062,-2.670762754,plantbudfilterdoublelogistic_SoS_threshold_EVI5,91,171,82,344
0.568977136,38.80580135,-5.570804419,plantbudmintomaxdoublelogistic_SoS_threshold_PPI13,65,117,163,345
0.389391514,33.4683011,-4.147595785,plantbudmintomaxcubic_SoS_threshold_NDVI2,134,82,130,346
0.032793465,29.90620865,-1.813950396,plantbudfilterSoS_threshold_NDGI2,241,63,47,351
0.356270951,31.88513919,-3.820685016,plantbudfilterSoS_threshold_PPI2,160,76,115,351
0.377329206,31.83351542,-4.359232695,plantbudmintomaxcubic_SoS_threshold_NDVI3,142,75,136,353
0.474314761,39.20248511,-4.088249512,plantbudmintomaxcubic_SoS_threshold_EVI5,104,122,128,354
0.490731019,33.6952794,-5.786478576,plantbuddoublelogistic_SoS_threshold_NDVI2,101,83,170,354
0.265748496,39.80259458,-1.657884349,plantbudmintomaxSoS_threshold_EVI4,188,126,41,355
0.595213921,42.42035006,-5.155568804,plantbudcubic_SoS_threshold_NDVI5,54,144,159,357
-0.098452648,29.78137758,-1.117460655,plantbudmintomaxSoS_threshold_EVI1,263,62,33,358
0.432916065,38.11477313,-4.330234428,plantbudmintomaxcubic_SoS_threshold_NDVI13,116,113,133,362
0.403541507,34.58935079,-4.410849119,plantbudmintomaxcubic_SoS_threshold_NDVI4,129,91,142,362
-0.087395683,30.31628049,-1.094000391,plantbudmintomaxSoS_threshold_NDGI1,262,69,32,363
-0.087129907,30.06050063,-1.559816774,plantbudmintomaxSoS_threshold_NDGI13,261,65,37,363
0.682195764,50.44292022,-4.406139417,plantbudfilter_cubic_SoS_threshold_PPI4,27,197,140,364
0.279482075,41.08426245,-1.772363128,plantbudfilterSoS_threshold_EVI4,185,134,46,365
0.538072261,40.93408816,-4.98471764,plantbudfilterdoublelogistic_SoS_threshold_NDGI4,77,133,158,368
0.068511043,34.81910068,-1.999305426,plantbudfilterSoS_threshold_NDGI3,234,94,50,378
-0.046943175,30.90092538,-1.907966492,plantbudmintomaxSoS_threshold_NDGI2,257,73,49,379
0.30126421,43.36289885,-2.167182244,plantbudmintomaxSoS_threshold_NDVI4,175,148,57,380
0.335952368,44.59184079,-2.226061576,plantbudfilterSoS_threshold_NDVI4,165,159,60,384
0.491437817,49.11160697,-3.455881496,plantbudfilterdoublelogistic_SoS_threshold_NDVI5,99,187,100,386
0.089815363,39.55740655,-1.578475288,plantbudSoS_threshold_EVI4,231,125,38,394
0.567371744,43.42755459,-6.2784802,plantbudmintomaxdoublelogistic_SoS_threshold_PPI2,68,151,175,394
0.463565981,37.86154467,-6.557550232,plantbuddoublelogistic_SoS_threshold_EVI1,107,111,180,398
0.208889535,41.23006412,-2.38096364,plantbudfilterSoS_threshold_NDGI4,201,135,65,401
0.340158519,37.16185807,-4.337949545,plantbudcubic_SoS_threshold_NDVI13,163,106,134,403
-0.002448963,32.78290976,-2.561467912,plantbudfilterSoS_threshold_NDGI13,249,79,77,405
0.537659135,45.93376033,-5.597056861,plantbudfilterdoublelogistic_SoS_threshold_NDGI5,78,167,165,410
