dif,R,RMSE,KGE,name,R_rank,RMSE_rank,KGE_rank,rank
-18.5,0.188247147,36.99300484,-15.92180566,budcubic_SoS_threshold_NDGI2,155,84,166,405
-70,0.306483021,57.5892592,-10.80990217,budfilterSoS_threshold_NDGI5,84,209,116,409
-10.5,0.262768665,41.6244334,-17.56644562,budcubic_SoS_threshold_NDGI13,118,115,182,415
-30,0.263744915,52.06809809,-10.66796712,budfiltercubic_SoS_threshold_NDPI4,117,188,113,418
38,0.215738375,45.0400442,-12.76898968,budmintomaxcubic_SoS_threshold_NDGI1,142,141,137,420
35,0.222839759,42.42395019,-14.86890992,budmintomaxcubic_SoS_threshold_NDGI13,140,122,159,421
-64,-0.367153451,40.55612939,-5.97262954,budfilterdoublelogistic_SoS_threshold_NDVI3,262,109,52,423
-44,0.180265631,45.28928992,-11.56948273,budmintomaxSoS_threshold_NDGI4,158,143,123,424
-5,0.466646562,51.27184663,-27.28680515,budSoS_threshold_EVI1,18,182,224,424
-30,0.28057382,53.86636174,-11.41094247,budfiltercubic_SoS_threshold_NDGI5,111,194,121,426
-17,0.282357642,50.54453156,-13.10228778,buddoublelogistic_SoS_threshold_NDVI5,110,176,140,426
-17,0.289917956,51.67313316,-13.18504842,budmintomaxdoublelogistic_SoS_threshold_NDVI5,105,183,143,431
1,0.297385831,42.83507157,-23.73090485,budmintomaxcubic_SoS_threshold_NDGI4,95,126,211,432
-6,0.185115957,48.38190543,-10.87989699,budfiltercubic_SoS_threshold_PPI3,157,159,117,433
-28.5,0.04700626,35.45909534,-12.54345311,budcubic_SoS_threshold_NDGI3,222,77,134,433
-59,-0.29414223,39.78385084,-7.966867861,budfilterdoublelogistic_SoS_threshold_NDGI3,249,107,83,439
-12,0.260391326,48.85419534,-14.70292952,budmintomaxdoublelogistic_SoS_threshold_NDGI5,120,163,157,440
-47.5,0.117659479,47.48281186,-9.41884992,budcubic_SoS_threshold_NDGI5,185,153,103,441
-17.5,0.133699162,37.73314486,-16.65008243,budcubic_SoS_threshold_NDVI2,179,88,174,441
-11,0.332064467,50.8191093,-19.38268475,budmintomaxcubic_SoS_threshold_NDVI5,69,180,197,446
-72,-0.389344889,43.95965853,-5.75244205,budfilterdoublelogistic_SoS_threshold_EVI4,269,133,48,450
30,0.209389044,42.49989488,-17.76931938,budmintomaxcubic_SoS_threshold_NDGI2,143,123,184,450
-2,0.154548359,39.30479948,-17.08892394,buddoublelogistic_SoS_threshold_NDVI2,173,102,178,453
-5,0.300901288,46.70849503,-23.96528989,budmintomaxcubic_SoS_threshold_NDGI5,91,151,212,454
-7.5,0.165766526,40.51527159,-17.23364594,budcubic_SoS_threshold_NDVI13,168,108,179,455
-14.5,0.42297201,55.78903619,-34.17489906,budcubic_SoS_threshold_PPI13,22,203,236,461
9,0.167143801,39.59382812,-18.80312923,buddoublelogistic_SoS_threshold_EVI1,166,105,191,462
-41,0.025186139,42.36963741,-10.7898795,budmintomaxSoS_threshold_PPI2,229,121,115,465
